Match Number,Round Number,Date,Location,Home Team,Away Team,Result
95,11,23/11/2024 15:30,Deutsche Bank Park,Eintracht Frankfurt,SV Werder Bremen,
96,11,23/11/2024 15:30,Signal Iduna Park,Borussia Dortmund,SC Freiburg,
97,11,23/11/2024 15:30,Allianz Arena,FC Bayern München,FC Augsburg,
98,11,23/11/2024 15:30,MHPArena,VfB Stuttgart,VfL Bochum 1848,
99,11,23/11/2024 15:30,BayArena,Bayer 04 Leverkusen,1. FC Heidenheim 1846,
100,12,30/11/2024 15:30,Millerntor-Stadion,1. FC Köln,SV Darmstadt 98,
101,12,30/11/2024 15:30,An der Alten Försterei,1. FC Union Berlin,Bayer 04 Leverkusen,
102,12,30/11/2024 15:30,Mewa Arena,1. FSV Mainz 05,TSG Hoffenheim,
103,12,30/11/2024 15:30,WWK Arena,FC Augsburg,VfL Bochum 1848,
104,12,30/11/2024 15:30,Europa-Park Stadion,SC Freiburg,Borussia Mönchengladbach,
105,12,30/11/2024 15:30,Weser-Stadion,SV Werder Bremen,VfB Stuttgart,
106,12,30/11/2024 15:30,Voith-Arena,1. FC Heidenheim 1846,Eintracht Frankfurt,
107,12,30/11/2024 15:30,Signal Iduna Park,Borussia Dortmund,FC Bayern München,
108,12,30/11/2024 15:30,Red Bull Arena,RB Leipzig,VfL Wolfsburg,
109,13,07/12/2024 15:30,Holstein-Stadion,SV Darmstadt 98,RB Leipzig,
110,13,07/12/2024 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,SV Werder Bremen,
111,13,07/12/2024 15:30,Borussia-Park,Borussia Mönchengladbach,Borussia Dortmund,
112,13,07/12/2024 15:30,Volkswagen Arena,VfL Wolfsburg,1. FSV Mainz 05,
113,13,07/12/2024 15:30,PreZero Arena,TSG Hoffenheim,SC Freiburg,
114,13,07/12/2024 15:30,Deutsche Bank Park,Eintracht Frankfurt,FC Augsburg,
115,13,07/12/2024 15:30,Allianz Arena,FC Bayern München,1. FC Heidenheim 1846,
116,13,07/12/2024 15:30,MHPArena,VfB Stuttgart,1. FC Union Berlin,
117,13,07/12/2024 15:30,BayArena,Bayer 04 Leverkusen,1. FC Köln,
118,14,14/12/2024 15:30,Millerntor-Stadion,1. FC Köln,SV Werder Bremen,
119,14,14/12/2024 15:30,An der Alten Försterei,1. FC Union Berlin,VfL Bochum 1848,
120,14,14/12/2024 15:30,Borussia-Park,Borussia Mönchengladbach,SV Darmstadt 98,
121,14,14/12/2024 15:30,Mewa Arena,1. FSV Mainz 05,FC Bayern München,
122,14,14/12/2024 15:30,WWK Arena,FC Augsburg,Bayer 04 Leverkusen,
123,14,14/12/2024 15:30,Europa-Park Stadion,SC Freiburg,VfL Wolfsburg,
124,14,14/12/2024 15:30,Voith-Arena,1. FC Heidenheim 1846,VfB Stuttgart,
125,14,14/12/2024 15:30,Signal Iduna Park,Borussia Dortmund,TSG Hoffenheim,
126,14,14/12/2024 15:30,Red Bull Arena,RB Leipzig,Eintracht Frankfurt,
127,15,21/12/2024 15:30,Holstein-Stadion,SV Darmstadt 98,FC Augsburg,
128,15,21/12/2024 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,1. FC Heidenheim 1846,
129,15,21/12/2024 15:30,Volkswagen Arena,VfL Wolfsburg,Borussia Dortmund,
130,15,21/12/2024 15:30,Weser-Stadion,SV Werder Bremen,1. FC Union Berlin,
131,15,21/12/2024 15:30,PreZero Arena,TSG Hoffenheim,Borussia Mönchengladbach,
132,15,21/12/2024 15:30,Deutsche Bank Park,Eintracht Frankfurt,1. FSV Mainz 05,
133,15,21/12/2024 15:30,Allianz Arena,FC Bayern München,RB Leipzig,
134,15,21/12/2024 15:30,MHPArena,VfB Stuttgart,1. FC Köln,
135,15,21/12/2024 15:30,BayArena,Bayer 04 Leverkusen,SC Freiburg,
136,16,11/01/2025 15:30,Millerntor-Stadion,1. FC Köln,Eintracht Frankfurt,
137,16,11/01/2025 15:30,Borussia-Park,Borussia Mönchengladbach,FC Bayern München,
138,16,11/01/2025 15:30,Mewa Arena,1. FSV Mainz 05,VfL Bochum 1848,
139,16,11/01/2025 15:30,WWK Arena,FC Augsburg,VfB Stuttgart,
140,16,11/01/2025 15:30,Europa-Park Stadion,SC Freiburg,SV Darmstadt 98,
141,16,11/01/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,1. FC Union Berlin,
142,16,11/01/2025 15:30,PreZero Arena,TSG Hoffenheim,VfL Wolfsburg,
143,16,11/01/2025 15:30,Signal Iduna Park,Borussia Dortmund,Bayer 04 Leverkusen,
144,16,11/01/2025 15:30,Red Bull Arena,RB Leipzig,SV Werder Bremen,
145,17,15/01/2025 20:30,Holstein-Stadion,SV Darmstadt 98,Borussia Dortmund,
146,17,15/01/2025 20:30,Vonovia Ruhrstadion,VfL Bochum 1848,1. FC Köln,
147,17,15/01/2025 20:30,An der Alten Försterei,1. FC Union Berlin,FC Augsburg,
148,17,15/01/2025 20:30,Volkswagen Arena,VfL Wolfsburg,Borussia Mönchengladbach,
149,17,15/01/2025 20:30,Weser-Stadion,SV Werder Bremen,1. FC Heidenheim 1846,
150,17,15/01/2025 20:30,Deutsche Bank Park,Eintracht Frankfurt,SC Freiburg,
151,17,15/01/2025 20:30,Allianz Arena,FC Bayern München,TSG Hoffenheim,
152,17,15/01/2025 20:30,MHPArena,VfB Stuttgart,RB Leipzig,
153,17,15/01/2025 20:30,BayArena,Bayer 04 Leverkusen,1. FSV Mainz 05,
154,18,18/01/2025 15:30,Holstein-Stadion,SV Darmstadt 98,TSG Hoffenheim,
155,18,18/01/2025 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,RB Leipzig,
156,18,18/01/2025 15:30,An der Alten Försterei,1. FC Union Berlin,1. FSV Mainz 05,
157,18,18/01/2025 15:30,Weser-Stadion,SV Werder Bremen,FC Augsburg,
158,18,18/01/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,1. FC Köln,
159,18,18/01/2025 15:30,Deutsche Bank Park,Eintracht Frankfurt,Borussia Dortmund,
160,18,18/01/2025 15:30,Allianz Arena,FC Bayern München,VfL Wolfsburg,
161,18,18/01/2025 15:30,MHPArena,VfB Stuttgart,SC Freiburg,
162,18,18/01/2025 15:30,BayArena,Bayer 04 Leverkusen,Borussia Mönchengladbach,
163,19,25/01/2025 15:30,Millerntor-Stadion,1. FC Köln,1. FC Union Berlin,
