Match Number,Round Number,Date,Location,Home Team,Away Team,Result
128,15,22/12/2024 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,1. FC Heidenheim 1846,
129,15,22/12/2024 17:30,Volkswagen Arena,VfL Wolfsburg,Borussia Dortmund,
143,16,10/01/2025 20:30,Signal Iduna Park,Borussia Dortmund,Bayer 04 Leverkusen,
136,16,11/01/2025 15:30,Millerntor-Stadion,FC St. Pauli,Eintracht Frankfurt,
138,16,11/01/2025 15:30,Mewa Arena,1. FSV Mainz 05,VfL Bochum 1848,
140,16,11/01/2025 15:30,Europa-Park Stadion,SC Freiburg,Holstein Kiel,
141,16,11/01/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,1. FC Union Berlin,
142,16,11/01/2025 15:30,PreZero Arena,TSG Hoffenheim,VfL Wolfsburg,
137,16,11/01/2025 18:30,Borussia-Park,Borussia Mönchengladbach,FC Bayern München,
144,16,12/01/2025 15:30,Red Bull Arena,RB Leipzig,SV Werder Bremen,
139,16,12/01/2025 17:30,WWK Arena,FC Augsburg,VfB Stuttgart,
145,17,14/01/2025 18:30,Holstein-Stadion,Holstein Kiel,Borussia Dortmund,
148,17,14/01/2025 20:30,Volkswagen Arena,VfL Wolfsburg,Borussia Mönchengladbach,
150,17,14/01/2025 20:30,Deutsche Bank Park,Eintracht Frankfurt,SC Freiburg,
153,17,14/01/2025 20:30,BayArena,Bayer 04 Leverkusen,1. FSV Mainz 05,
146,17,15/01/2025 18:30,Vonovia Ruhrstadion,VfL Bochum 1848,FC St. Pauli,
147,17,15/01/2025 20:30,An der Alten Försterei,1. FC Union Berlin,FC Augsburg,
149,17,15/01/2025 20:30,Weser-Stadion,SV Werder Bremen,1. FC Heidenheim 1846,
151,17,15/01/2025 20:30,Allianz Arena,FC Bayern München,TSG Hoffenheim,
152,17,15/01/2025 20:30,MHPArena,VfB Stuttgart,RB Leipzig,
159,18,17/01/2025 20:30,Deutsche Bank Park,Eintracht Frankfurt,Borussia Dortmund,
154,18,18/01/2025 15:30,Holstein-Stadion,Holstein Kiel,TSG Hoffenheim,
155,18,18/01/2025 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,RB Leipzig,
158,18,18/01/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,FC St. Pauli,
160,18,18/01/2025 15:30,Allianz Arena,FC Bayern München,VfL Wolfsburg,
161,18,18/01/2025 15:30,MHPArena,VfB Stuttgart,SC Freiburg,
162,18,18/01/2025 18:30,BayArena,Bayer 04 Leverkusen,Borussia Mönchengladbach,
156,18,19/01/2025 15:30,An der Alten Försterei,1. FC Union Berlin,1. FSV Mainz 05,
157,18,19/01/2025 17:30,Weser-Stadion,SV Werder Bremen,FC Augsburg,
166,19,24/01/2025 20:30,Volkswagen Arena,VfL Wolfsburg,Holstein Kiel,
165,19,25/01/2025 15:30,Mewa Arena,1. FSV Mainz 05,VfB Stuttgart,
167,19,25/01/2025 15:30,WWK Arena,FC Augsburg,1. FC Heidenheim 1846,
168,19,25/01/2025 15:30,Europa-Park Stadion,SC Freiburg,FC Bayern München,
170,19,25/01/2025 15:30,Signal Iduna Park,Borussia Dortmund,SV Werder Bremen,
171,19,25/01/2025 15:30,Red Bull Arena,RB Leipzig,Bayer 04 Leverkusen,
164,19,25/01/2025 18:30,Borussia-Park,Borussia Mönchengladbach,VfL Bochum 1848,
169,19,26/01/2025 15:30,PreZero Arena,TSG Hoffenheim,Eintracht Frankfurt,
163,19,26/01/2025 17:30,Millerntor-Stadion,FC St. Pauli,1. FC Union Berlin,
172,20,01/02/2025 15:30,Millerntor-Stadion,FC St. Pauli,FC Augsburg,
173,20,01/02/2025 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,SC Freiburg,
174,20,01/02/2025 15:30,An der Alten Försterei,1. FC Union Berlin,RB Leipzig,
175,20,01/02/2025 15:30,Weser-Stadion,SV Werder Bremen,1. FSV Mainz 05,
176,20,01/02/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,Borussia Dortmund,
177,20,01/02/2025 15:30,Deutsche Bank Park,Eintracht Frankfurt,VfL Wolfsburg,
178,20,01/02/2025 15:30,Allianz Arena,FC Bayern München,Holstein Kiel,
179,20,01/02/2025 15:30,MHPArena,VfB Stuttgart,Borussia Mönchengladbach,
180,20,01/02/2025 15:30,BayArena,Bayer 04 Leverkusen,TSG Hoffenheim,
181,21,08/02/2025 15:30,Holstein-Stadion,Holstein Kiel,VfL Bochum 1848,
182,21,08/02/2025 15:30,Borussia-Park,Borussia Mönchengladbach,Eintracht Frankfurt,
183,21,08/02/2025 15:30,Mewa Arena,1. FSV Mainz 05,FC Augsburg,
184,21,08/02/2025 15:30,Volkswagen Arena,VfL Wolfsburg,Bayer 04 Leverkusen,
185,21,08/02/2025 15:30,Europa-Park Stadion,SC Freiburg,1. FC Heidenheim 1846,
186,21,08/02/2025 15:30,PreZero Arena,TSG Hoffenheim,1. FC Union Berlin,
187,21,08/02/2025 15:30,Signal Iduna Park,Borussia Dortmund,VfB Stuttgart,
188,21,08/02/2025 15:30,Red Bull Arena,RB Leipzig,FC St. Pauli,
189,21,08/02/2025 15:30,Allianz Arena,FC Bayern München,SV Werder Bremen,
190,22,15/02/2025 15:30,Millerntor-Stadion,FC St. Pauli,SC Freiburg,
191,22,15/02/2025 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,Borussia Dortmund,
192,22,15/02/2025 15:30,An der Alten Försterei,1. FC Union Berlin,Borussia Mönchengladbach,
193,22,15/02/2025 15:30,WWK Arena,FC Augsburg,RB Leipzig,
194,22,15/02/2025 15:30,Weser-Stadion,SV Werder Bremen,TSG Hoffenheim,
195,22,15/02/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,1. FSV Mainz 05,
